"nav","nav_date","fund_name","daily_return"
60.81,2021-04-27,"Axis Mid Cap",0.00996512207274541
61.48,2021-04-28,"Axis Mid Cap",0.0110179246834401
61.47,2021-04-29,"Axis Mid Cap",-0.000162654521795674
61.05,2021-04-30,"Axis Mid Cap",-0.00683260126891169
61.28,2021-05-03,"Axis Mid Cap",0.00376740376740383
60.84,2021-05-04,"Axis Mid Cap",-0.00718015665796341
61.42,2021-05-05,"Axis Mid Cap",0.00953320184089412
62.07,2021-05-06,"Axis Mid Cap",0.0105828720286551
61.7,2021-05-07,"Axis Mid Cap",-0.00596101176091505
61.62,2021-05-10,"Axis Mid Cap",-0.00129659643435989
62.02,2021-05-11,"Axis Mid Cap",0.00649139889646228
61.44,2021-05-12,"Axis Mid Cap",-0.0093518219929056
61.09,2021-05-14,"Axis Mid Cap",-0.00569661458333324
62.06,2021-05-17,"Axis Mid Cap",0.0158782124733999
63.02,2021-05-18,"Axis Mid Cap",0.015468901063487
62.79,2021-05-19,"Axis Mid Cap",-0.00364963503649641
62.89,2021-05-20,"Axis Mid Cap",0.00159261028826248
63.27,2021-05-21,"Axis Mid Cap",0.00604229607250759
63.43,2021-05-24,"Axis Mid Cap",0.00252884463410774
63.46,2021-05-25,"Axis Mid Cap",0.000472962320668471
63.75,2021-05-26,"Axis Mid Cap",0.00456980775291521
64.04,2021-05-27,"Axis Mid Cap",0.00454901960784324
63.86,2021-05-28,"Axis Mid Cap",-0.0028107432854467
64.34,2021-05-31,"Axis Mid Cap",0.00751644221735052
64.19,2021-06-01,"Axis Mid Cap",-0.00233136462542751
64.66,2021-06-02,"Axis Mid Cap",0.00732201277457546
65.34,2021-06-03,"Axis Mid Cap",0.0105165480977421
65.4,2021-06-04,"Axis Mid Cap",0.000918273645546408
65.82,2021-06-07,"Axis Mid Cap",0.00642201834862366
65.99,2021-06-08,"Axis Mid Cap",0.00258280158006688
65.58,2021-06-09,"Axis Mid Cap",-0.00621306258524014
66.47,2021-06-10,"Axis Mid Cap",0.0135712107349802
66.51,2021-06-11,"Axis Mid Cap",0.000601775236949094
