NAV,Date
85.2063,03-Sep-21
85.7657,06-Sep-21
85.8746,07-Sep-21
86.3261,08-Sep-21
86.8625,09-Sep-21
87.465,13-Sep-21
87.8499,14-Sep-21
88.887,15-Sep-21
88.7277,16-Sep-21
88.1974,17-Sep-21
86.5599,20-Sep-21
86.8307,21-Sep-21
87.4014,22-Sep-21
88.1305,23-Sep-21
88.3762,24-Sep-21
87.8059,27-Sep-21
87.2249,28-Sep-21
87.4637,29-Sep-21
88.0434,30-Sep-21
88.1773,01-Oct-21
89.6665,04-Oct-21
90.0221,05-Oct-21
89.623,06-Oct-21
90.5912,07-Oct-21
91.7163,08-Oct-21
92.1055,11-Oct-21
92.3272,12-Oct-21
92.8896,13-Oct-21
93.2095,14-Oct-21
93.9295,18-Oct-21
92.7501,19-Oct-21
90.2095,20-Oct-21
89.1129,21-Oct-21
88.2321,22-Oct-21
86.5984,25-Oct-21
88.7964,26-Oct-21
89.2377,27-Oct-21
87.6892,28-Oct-21
87.6161,29-Oct-21
88.6089,01-Nov-21
89.7822,02-Nov-21
89.5711,03-Nov-21
91.5243,08-Nov-21
91.9116,09-Nov-21
92.4811,10-Nov-21
92.4683,11-Nov-21
92.6559,12-Nov-21
92.9644,15-Nov-21
93.3874,16-Nov-21
93.3562,17-Nov-21
91.8004,18-Nov-21
89.18,22-Nov-21
90.6047,23-Nov-21
91.3372,24-Nov-21
92.2212,25-Nov-21
89.4366,26-Nov-21
87.5879,29-Nov-21
89.1012,30-Nov-21
89.3469,01-Dec-21
90.2546,02-Dec-21
90.4343,03-Dec-21
89.2112,06-Dec-21
90.2399,07-Dec-21
91.4421,08-Dec-21
91.835,09-Dec-21
92.4852,10-Dec-21
93.1151,13-Dec-21
93.2445,14-Dec-21
93.1309,15-Dec-21
92.7212,16-Dec-21
90.9058,17-Dec-21
88.153,20-Dec-21
89.4953,21-Dec-21
90.9911,22-Dec-21
91.7322,23-Dec-21
91.3089,24-Dec-21
91.9479,27-Dec-21
93.7442,28-Dec-21
94.2021,29-Dec-21
94.1683,30-Dec-21
94.9717,31-Dec-21
96.4493,03-Jan-22
97.1037,04-Jan-22
96.7149,05-Jan-22
96.6556,06-Jan-22
97.3225,07-Jan-22
98.4593,10-Jan-22
98.3547,11-Jan-22
99.1533,12-Jan-22
99.6433,13-Jan-22
100.1494,14-Jan-22
100.9424,17-Jan-22
98.9829,18-Jan-22
98.7872,19-Jan-22
98.5347,20-Jan-22
96.4195,21-Jan-22
92.0507,24-Jan-22
93.0392,25-Jan-22
92.2698,27-Jan-22
92.7489,28-Jan-22
93.9918,31-Jan-22
94.8302,01-Feb-22
96.094,02-Feb-22
95.6616,03-Feb-22
95.4722,04-Feb-22
94.5696,07-Feb-22
93.5799,08-Feb-22
94.0961,09-Feb-22
94.1048,10-Feb-22
92.408,11-Feb-22
88.4636,14-Feb-22
90.6879,15-Feb-22
91.0311,16-Feb-22
90.6393,17-Feb-22
89.9651,18-Feb-22
88.4796,21-Feb-22
87.2866,22-Feb-22
88.1148,23-Feb-22
83.6577,24-Feb-22
87.0849,25-Feb-22
87.3533,28-Feb-22
87.0627,02-Mar-22
87.2041,03-Mar-22
85.591,04-Mar-22
84.0231,07-Mar-22
85.03,08-Mar-22
86.6645,09-Mar-22
87.7808,10-Mar-22
88.6415,11-Mar-22
89.2322,14-Mar-22
88.2381,15-Mar-22
89.4707,16-Mar-22
90.4876,17-Mar-22
91.278,21-Mar-22
91.8017,22-Mar-22
91.5816,23-Mar-22
91.4078,24-Mar-22
90.849,25-Mar-22
90.534,28-Mar-22
91.157,29-Mar-22
92.4379,30-Mar-22
92.9545,31-Mar-22
94.1589,01-Apr-22
95.455,04-Apr-22
96.3879,05-Apr-22
96.8101,06-Apr-22
96.4762,07-Apr-22
97.5277,08-Apr-22
97.5777,11-Apr-22
96.4762,12-Apr-22
97.0702,13-Apr-22
96.0243,18-Apr-22
94.6327,19-Apr-22
94.7545,20-Apr-22
96.111,21-Apr-22
95.8345,22-Apr-22
94.2719,25-Apr-22
95.2715,26-Apr-22
94.9042,27-Apr-22
95.4119,28-Apr-22
94.5293,29-Apr-22
93.5737,02-May-22
91.4891,04-May-22
91.2593,05-May-22
89.4521,06-May-22
87.9328,09-May-22
86.4092,10-May-22
84.8233,11-May-22
83.0261,12-May-22
83.9039,13-May-22
84.7568,16-May-22
87.0087,17-May-22
87.258,18-May-22
85.2296,19-May-22
86.6421,20-May-22
86.1384,23-May-22
85.2233,24-May-22
82.8762,25-May-22
83.6924,26-May-22
85.0806,27-May-22
87.0891,30-May-22
87.9753,31-May-22
88.8005,01-Jun-22
89.2892,02-Jun-22
88.4882,03-Jun-22
87.8011,06-Jun-22
87.1957,07-Jun-22
86.8341,08-Jun-22
87.0174,09-Jun-22
86.436,10-Jun-22
84.0258,13-Jun-22
84.1267,14-Jun-22
84.8192,15-Jun-22
82.6698,16-Jun-22
82.054,17-Jun-22
80.3591,20-Jun-22
82.3061,21-Jun-22
81.5579,22-Jun-22
82.2678,23-Jun-22
83.6732,24-Jun-22
85.2164,27-Jun-22
85.7289,28-Jun-22
85.5723,29-Jun-22
85.2665,30-Jun-22
85.2,01-Jul-22
85.8618,04-Jul-22
86.0526,05-Jul-22
86.7766,06-Jul-22
87.7502,07-Jul-22
88.3659,08-Jul-22
88.8315,11-Jul-22
88.3619,12-Jul-22
88.4469,13-Jul-22
88.0409,14-Jul-22
88.4773,15-Jul-22
89.6026,18-Jul-22
90.6444,19-Jul-22
91.0946,20-Jul-22
92.0259,21-Jul-22
92.1222,22-Jul-22
92.1774,25-Jul-22
91.3472,26-Jul-22
91.5212,27-Jul-22
92.0497,28-Jul-22
93.1519,29-Jul-22
94.2734,01-Aug-22
94.4625,02-Aug-22
94.2398,03-Aug-22
94.1877,04-Aug-22
94.2702,05-Aug-22
94.5668,08-Aug-22
94.5997,10-Aug-22
95.0861,11-Aug-22
95.1915,12-Aug-22
95.65,16-Aug-22
96.0551,17-Aug-22
96.3548,18-Aug-22
95.6356,19-Aug-22
94.7991,22-Aug-22
95.6354,23-Aug-22
96.3015,24-Aug-22
96.3567,25-Aug-22
97.0813,26-Aug-22
96.7863,29-Aug-22
98.0566,30-Aug-22
98.7009,01-Sep-22
98.7071,02-Sep-22
99.6033,05-Sep-22
99.758,06-Sep-22
100.4986,07-Sep-22
