"nav","nav_date","fund_name"
"59.5977","2021-06-28","SBI Large Cap"
"59.2396","2021-06-29","SBI Large Cap"
"59.2255","2021-06-30","SBI Large Cap"
"59.1359","2021-07-01","SBI Large Cap"
"59.4072","2021-07-02","SBI Large Cap"
"59.8428","2021-07-05","SBI Large Cap"
"59.8054","2021-07-06","SBI Large Cap"
"60.0688","2021-07-07","SBI Large Cap"
"59.5242","2021-07-08","SBI Large Cap"
"59.5363","2021-07-09","SBI Large Cap"
"59.6562","2021-07-12","SBI Large Cap"
"60.0592","2021-07-13","SBI Large Cap"
"60.2575","2021-07-14","SBI Large Cap"
"60.6374","2021-07-15","SBI Large Cap"
"60.6722","2021-07-16","SBI Large Cap"
"60.1597","2021-07-19","SBI Large Cap"
"59.4999","2021-07-20","SBI Large Cap"
"60.2579","2021-07-22","SBI Large Cap"
"60.5279","2021-07-23","SBI Large Cap"
"60.4308","2021-07-26","SBI Large Cap"
"60.1776","2021-07-27","SBI Large Cap"
"60.0696","2021-07-28","SBI Large Cap"
"60.457","2021-07-29","SBI Large Cap"
"60.5929","2021-07-30","SBI Large Cap"
"61.2102","2021-08-02","SBI Large Cap"
"61.9505","2021-08-03","SBI Large Cap"
"62.2125","2021-08-04","SBI Large Cap"
"62.2932","2021-08-05","SBI Large Cap"
"61.9544","2021-08-06","SBI Large Cap"
"61.9938","2021-08-09","SBI Large Cap"
"61.9773","2021-08-10","SBI Large Cap"
"61.8601","2021-08-11","SBI Large Cap"
"62.132","2021-08-12","SBI Large Cap"
"62.6205","2021-08-13","SBI Large Cap"
"62.4252","2021-08-16","SBI Large Cap"
"62.4469","2021-08-17","SBI Large Cap"
"62.2617","2021-08-18","SBI Large Cap"
"61.4601","2021-08-20","SBI Large Cap"
"61.4551","2021-08-23","SBI Large Cap"
"61.988","2021-08-24","SBI Large Cap"
"62.0758","2021-08-25","SBI Large Cap"
"62.1421","2021-08-26","SBI Large Cap"
"62.5225","2021-08-27","SBI Large Cap"
"63.5223","2021-08-30","SBI Large Cap"
"64.2324","2021-08-31","SBI Large Cap"
"64.2265","2021-09-01","SBI Large Cap"
"64.7521","2021-09-02","SBI Large Cap"
"65.1365","2021-09-03","SBI Large Cap"
"65.2682","2021-09-06","SBI Large Cap"
"65.1568","2021-09-07","SBI Large Cap"
"65.1606","2021-09-08","SBI Large Cap"
"65.1699","2021-09-09","SBI Large Cap"
"65.2716","2021-09-13","SBI Large Cap"
"65.507","2021-09-14","SBI Large Cap"
"66.0871","2021-09-15","SBI Large Cap"
"66.5141","2021-09-16","SBI Large Cap"
"66.3328","2021-09-17","SBI Large Cap"
"65.4278","2021-09-20","SBI Large Cap"
"65.8905","2021-09-21","SBI Large Cap"
"66.1693","2021-09-22","SBI Large Cap"
"67.2717","2021-09-23","SBI Large Cap"
"67.2971","2021-09-24","SBI Large Cap"
"67.3116","2021-09-27","SBI Large Cap"
"66.8038","2021-09-28","SBI Large Cap"
"66.8847","2021-09-29","SBI Large Cap"
"66.424","2021-09-30","SBI Large Cap"
"66.1557","2021-10-01","SBI Large Cap"
"66.8686","2021-10-04","SBI Large Cap"
"67.0449","2021-10-05","SBI Large Cap"
"66.3562","2021-10-06","SBI Large Cap"
"67.2893","2021-10-07","SBI Large Cap"
"67.2667","2021-10-08","SBI Large Cap"
"67.8148","2021-10-11","SBI Large Cap"
"67.9234","2021-10-12","SBI Large Cap"
"68.6467","2021-10-13","SBI Large Cap"
"69.2663","2021-10-14","SBI Large Cap"
"69.6222","2021-10-18","SBI Large Cap"
"69.0503","2021-10-19","SBI Large Cap"
"68.2688","2021-10-20","SBI Large Cap"
"68.1511","2021-10-21","SBI Large Cap"
