NAV,Date
76.2,08-Sep-21
76.3,09-Sep-21
76.97,13-Sep-21
77.14,14-Sep-21
77.7,15-Sep-21
78.11,16-Sep-21
77.65,17-Sep-21
76.51,20-Sep-21
77.07,21-Sep-21
77.41,22-Sep-21
78.21,23-Sep-21
77.62,24-Sep-21
77.09,27-Sep-21
76.09,28-Sep-21
76.41,29-Sep-21
76.57,30-Sep-21
76.4,01-Oct-21
77.38,04-Oct-21
77.77,05-Oct-21
77.21,06-Oct-21
78.72,07-Oct-21
79.03,08-Oct-21
79.15,11-Oct-21
79.34,12-Oct-21
80.58,13-Oct-21
81.54,14-Oct-21
81.84,18-Oct-21
81,19-Oct-21
79.47,20-Oct-21
78.64,21-Oct-21
77.87,22-Oct-21
77,25-Oct-21
78.11,26-Oct-21
78.35,27-Oct-21
77.69,28-Oct-21
77.86,29-Oct-21
78.94,01-Nov-21
79.1,02-Nov-21
79.03,03-Nov-21
80.24,08-Nov-21
80.79,09-Nov-21
80.92,10-Nov-21
80.67,11-Nov-21
81.11,12-Nov-21
81.5,15-Nov-21
81.36,16-Nov-21
81.4,17-Nov-21
80.31,18-Nov-21
78.09,22-Nov-21
78.93,23-Nov-21
78.51,24-Nov-21
78.91,25-Nov-21
76.58,26-Nov-21
76.33,29-Nov-21
76.68,30-Nov-21
77.07,01-Dec-21
77.95,02-Dec-21
77.52,03-Dec-21
76.27,06-Dec-21
77.28,07-Dec-21
78.35,08-Dec-21
78.49,09-Dec-21
78.77,10-Dec-21
78.7,13-Dec-21
78.44,14-Dec-21
77.98,15-Dec-21
77.83,16-Dec-21
76.68,17-Dec-21
74.11,20-Dec-21
74.97,21-Dec-21
75.93,22-Dec-21
76.41,23-Dec-21
76.05,24-Dec-21
76.2,27-Dec-21
76.96,28-Dec-21
77.01,29-Dec-21
77.2,30-Dec-21
78.22,31-Dec-21
79.09,03-Jan-22
79.39,04-Jan-22
79.41,05-Jan-22
79.22,06-Jan-22
79.51,07-Jan-22
79.48,10-Jan-22
79.76,11-Jan-22
80.3,12-Jan-22
80.49,13-Jan-22
80.36,14-Jan-22
80.59,17-Jan-22
79.3,18-Jan-22
78.97,19-Jan-22
79.23,20-Jan-22
77.89,21-Jan-22
75.19,24-Jan-22
75.32,25-Jan-22
73.73,27-Jan-22
74.59,28-Jan-22
75.84,31-Jan-22
76.68,01-Feb-22
77.23,02-Feb-22
76.39,03-Feb-22
76.39,04-Feb-22
75.48,07-Feb-22
74.94,08-Feb-22
75.88,09-Feb-22
75.94,10-Feb-22
74.32,11-Feb-22
72.16,14-Feb-22
73.97,15-Feb-22
73.64,16-Feb-22
73.48,17-Feb-22
73.01,18-Feb-22
72.72,21-Feb-22
72.64,22-Feb-22
72.84,23-Feb-22
69.84,24-Feb-22
72.28,25-Feb-22
72.9,28-Feb-22
72.2,02-Mar-22
71.81,03-Mar-22
70.71,04-Mar-22
69.26,07-Mar-22
70.07,08-Mar-22
71.14,09-Mar-22
71.87,10-Mar-22
72.39,11-Mar-22
72.76,14-Mar-22
72.23,15-Mar-22
73.36,16-Mar-22
74.38,17-Mar-22
73.95,21-Mar-22
74.05,22-Mar-22
74.32,23-Mar-22
74.39,24-Mar-22
74.17,25-Mar-22
74.2,28-Mar-22
74.74,29-Mar-22
75.53,30-Mar-22
75.53,31-Mar-22
75.47,01-Apr-22
76.21,04-Apr-22
76.98,05-Apr-22
76.85,06-Apr-22
76.23,07-Apr-22
76.84,08-Apr-22
76.86,11-Apr-22
75.92,12-Apr-22
75.73,13-Apr-22
74.7,18-Apr-22
74.16,19-Apr-22
74.22,20-Apr-22
74.85,21-Apr-22
74.63,22-Apr-22
73.61,25-Apr-22
74.48,26-Apr-22
73.77,27-Apr-22
74.34,28-Apr-22
74,29-Apr-22
73.62,02-May-22
72.18,04-May-22
72.35,05-May-22
70.49,06-May-22
69.52,09-May-22
68.31,10-May-22
68.02,11-May-22
66.92,12-May-22
67.15,13-May-22
67.79,16-May-22
69.36,17-May-22
69.49,18-May-22
67.84,19-May-22
68.75,20-May-22
68.78,23-May-22
68.42,24-May-22
67.17,25-May-22
67.63,26-May-22
68.72,27-May-22
70.3,30-May-22
70.66,31-May-22
70.71,01-Jun-22
70.68,02-Jun-22
69.83,03-Jun-22
69.58,06-Jun-22
68.93,07-Jun-22
68.73,08-Jun-22
69.06,09-Jun-22
68.36,10-Jun-22
66.81,13-Jun-22
66.64,14-Jun-22
67.08,15-Jun-22
65.92,16-Jun-22
65.51,17-Jun-22
65.19,20-Jun-22
66.21,21-Jun-22
65.37,22-Jun-22
66.26,23-Jun-22
66.92,24-Jun-22
67.57,27-Jun-22
67.61,28-Jun-22
67.63,29-Jun-22
67.07,30-Jun-22
