NAV,Date
330.81,22-Sep-22
326.466,23-Sep-22
321.305,26-Sep-22
321.155,27-Sep-22
319.084,28-Sep-22
319.621,29-Sep-22
322.226,30-Sep-22
320.613,03-Oct-22
325.842,04-Oct-22
328.04,06-Oct-22
327.398,07-Oct-22
326.707,10-Oct-22
323.728,11-Oct-22
325.611,12-Oct-22
324.367,13-Oct-22
325.942,14-Oct-22
327.837,17-Oct-22
330.799,18-Oct-22
330.406,19-Oct-22
330.995,20-Oct-22
330.921,21-Oct-22
334.405,25-Oct-22
336.079,27-Oct-22
336.15,28-Oct-22
338.291,31-Oct-22
339.763,01-Nov-22
339.39,02-Nov-22
339.423,03-Nov-22
339.561,04-Nov-22
342.244,07-Nov-22
342.194,09-Nov-22
340.391,10-Nov-22
343.377,11-Nov-22
342.421,14-Nov-22
343.456,15-Nov-22
343.712,16-Nov-22
343.347,17-Nov-22
342.373,18-Nov-22
341.136,21-Nov-22
342.429,22-Nov-22
343.364,23-Nov-22
345.958,24-Nov-22
347.293,25-Nov-22
348.482,28-Nov-22
348.463,29-Nov-22
349.536,30-Nov-22
350.517,01-Dec-22
349.97,02-Dec-22
350.733,05-Dec-22
349.663,06-Dec-22
349.597,07-Dec-22
350.813,08-Dec-22
349.641,09-Dec-22
350.642,12-Dec-22
351.838,13-Dec-22
352.946,14-Dec-22
350.268,15-Dec-22
347.611,16-Dec-22
349.253,19-Dec-22
349.122,20-Dec-22
345.463,21-Dec-22
343.741,22-Dec-22
338.429,23-Dec-22
343.326,26-Dec-22
344.641,27-Dec-22
344.954,28-Dec-22
346.371,29-Dec-22
346.334,30-Dec-22
348.365,02-Jan-23
349.306,03-Jan-23
346.705,04-Jan-23
347.324,05-Jan-23
345.809,06-Jan-23
348.128,09-Jan-23
345.906,10-Jan-23
345.601,11-Jan-23
345.291,12-Jan-23
346.511,13-Jan-23
345.892,16-Jan-23
346.523,17-Jan-23
348.079,18-Jan-23
348.313,19-Jan-23
348.382,20-Jan-23
349.795,23-Jan-23
349.127,24-Jan-23
345.981,25-Jan-23
341.543,27-Jan-23
341.512,30-Jan-23
344.149,31-Jan-23
342.256,01-Feb-23
342.277,02-Feb-23
344.426,03-Feb-23
344.63,06-Feb-23
344.414,07-Feb-23
345.333,08-Feb-23
345.579,09-Feb-23
345.277,10-Feb-23
343.744,13-Feb-23
344.676,14-Feb-23
345.707,15-Feb-23
346.861,16-Feb-23
345.992,17-Feb-23
